index,mechanism,action,drugA,drugB
975,The metabolism,decrease,Clotrimazole,Acetaminophen
976,The metabolism,decrease,Clozapine,Acetaminophen
977,The metabolism,decrease,Cocaine,Acetaminophen
978,The serum concentration,increase,Colchicine,Acetaminophen
979,The serum concentration,increase,Conivaptan,Acetaminophen
980,The metabolism,decrease,Crisaborole,Acetaminophen
981,The metabolism,decrease,Crizotinib,Acetaminophen
982,The metabolism,decrease,Cyclosporine,Acetaminophen
983,The serum concentration,decrease,Cyproteroneacetate,Acetaminophen
984,The serum concentration of the active metabolites,increase,Dabigatranetexilate,Acetaminophen
985,The serum concentration,decrease,Acetaminophen,Dabrafenib
986,The metabolism,decrease,Acetaminophen,Darifenacin
987,the hepatotoxic activities,increase,Acetaminophen,Dasatinib
988,The metabolism,decrease,Acetaminophen,Desipramine
989,the anticoagulant activities,increase,Acetaminophen,Dicoumarol
990,The risk or severity of adverse effects,increase,Acetaminophen,Dihydroergotamine
991,The metabolism,decrease,Acetaminophen,Diltiazem
992,The metabolism,decrease,Acetaminophen,Diphenhydramine
993,The metabolism,decrease,Acetaminophen,Dosulepin
994,The serum concentration,increase,Acetaminophen,Doxorubicin
995,The metabolism,decrease,Acetaminophen,Doxycycline
996,The metabolism,decrease,Acetaminophen,Dronedarone
997,The metabolism,decrease,Acetaminophen,Duloxetine
998,The metabolism,decrease,Acetaminophen,Eliglustat
999,The serum concentration,decrease,Acetaminophen,Enzalutamide
1000,The risk or severity of adverse effects,increase,Acetaminophen,Ergonovine
1001,The risk or severity of adverse effects,increase,Acetaminophen,Ergotamine
1002,The metabolism,decrease,Acetaminophen,Erythromycin
1003,the hepatotoxic activities,increase,Acetaminophen,Ethanol
1004,The serum concentration,increase,Acetaminophen,Everolimus
1005,The metabolism,decrease,Acetaminophen,Felodipine
1006,The metabolism,decrease,Acetaminophen,Floxuridine
1007,The metabolism,decrease,Acetaminophen,Fluorouracil
1008,The metabolism,decrease,Acetaminophen,Fluoxetine
1009,The serum concentration,increase,Acetaminophen,Fluvastatin
1010,The metabolism,decrease,Acetaminophen,Fluvoxamine
1011,The serum concentration,decrease,Acetaminophen,Fosphenytoin
1012,The metabolism,decrease,Acetaminophen,Gemfibrozil
1013,The metabolism,decrease,Acetaminophen,Haloperidol
1014,The metabolism,increase,Acetaminophen,Hexobarbital
1015,The serum concentration,increase,Acetaminophen,Ibrutinib
1016,the hepatotoxic activities,increase,Acetaminophen,Imatinib
1017,The metabolism,decrease,Acetaminophen,Imipramine
1018,The metabolism,decrease,Acetaminophen,Irbesartan
1019,The serum concentration,increase,Acetaminophen,Isavuconazole
1020,The risk or severity of adverse effects,increase,Acetaminophen,Isoniazid
1021,The metabolism,decrease,Acetaminophen,Isradipine
1022,The metabolism,decrease,Acetaminophen,Itraconazole
1023,The serum concentration,increase,Acetaminophen,Ivacaftor
1024,The metabolism,decrease,Acetaminophen,Ketoconazole
1025,The metabolism,decrease,Acetaminophen,Lapatinib
1026,The metabolism,decrease,Acetaminophen,Leflunomide
1027,The metabolism,decrease,Acetaminophen,Lidocaine
1028,The risk or severity of adverse effects,increase,Acetaminophen,Lisuride
1029,The metabolism,decrease,Acetaminophen,Lobeglitazone
1030,The metabolism,decrease,Acetaminophen,Lorcaserin
1031,The serum concentration,increase,Acetaminophen,Lorpiprazole
1032,The metabolism,decrease,Acetaminophen,Losartan
1033,The serum concentration,increase,Acetaminophen,Lovastatin
1034,The serum concentration,increase,Acetaminophen,Lumacaftor
1035,The metabolism,decrease,Acetaminophen,Methadone
1036,The metabolism,decrease,Acetaminophen,Methotrimeprazine
1037,The risk or severity of adverse effects,increase,Acetaminophen,Methylergometrine
1038,The metabolism,increase,Acetaminophen,Methylphenobarbital
1039,The metabolism,decrease,Acetaminophen,Metoprolol
1040,The serum concentration,increase,Acetaminophen,Metyrapone
1041,The metabolism,decrease,Acetaminophen,Mexiletine
1042,The metabolism,decrease,Acetaminophen,Midostaurin
1043,The serum concentration,increase,Acetaminophen,Mifepristone
1044,The metabolism,decrease,Acetaminophen,Mirabegron
1045,The serum concentration,decrease,Acetaminophen,Mitotane
1046,The serum concentration,increase,Acetaminophen,Naloxegol
1047,The metabolism,decrease,Acetaminophen,Nefazodone
1048,The serum concentration,increase,Acetaminophen,Netupitant
1049,The metabolism,decrease,Acetaminophen,Nicardipine
1050,The risk or severity of adverse effects,increase,Acetazolamide,Acetylsalicylicacid
1051,The risk or severity of adverse effects,increase,Acetazolamide,Alfentanil
1052,The risk or severity of adverse effects,increase,Acetazolamide,Aminosalicylicacid
1053,the excretion rate which could result in a higher serum level,decrease,Acetazolamide,Amphetamine
1054,The risk or severity of adverse effects,increase,Acetazolamide,Atorvastatin
1055,The risk or severity of adverse effects,increase,Acetazolamide,Balsalazide
1056,the excretion rate which could result in a higher serum level,decrease,Acetazolamide,Benzphetamine
1057,The serum concentration,increase,Acetazolamide,Bosutinib
1058,The risk or severity of adverse effects,increase,Acetazolamide,Brinzolamide
1059,The risk or severity of adverse effects,increase,Acetazolamide,Bromocriptine
1060,The risk or severity of adverse effects,increase,Acetazolamide,Buprenorphine
1061,The risk or severity of adverse effects,increase,Acetazolamide,Cabergoline
1062,The risk or severity of hypotension,increase,Acetazolamide,Candesartancilexetil
1063,The serum concentration,increase,Acetazolamide,Carbamazepine
1064,The serum concentration,increase,Acetazolamide,Cerivastatin
1065,The risk or severity of adverse effects,increase,Acetazolamide,Codeine
1066,The serum concentration,increase,Acetazolamide,Cyclosporine
1067,the excretion rate which could result in a higher serum level,decrease,Acetazolamide,Dextroamphetamine
1068,The risk or severity of adverse effects,increase,Acetazolamide,Dextropropoxyphene
1069,The risk or severity of adverse effects,increase,Acetazolamide,Diclofenamide
1070,The risk or severity of adverse effects,increase,Acetazolamide,Diflunisal
1071,The risk or severity of adverse effects,increase,Acetazolamide,Dihydroergotamine
1072,The risk or severity of adverse effects,increase,Acetazolamide,Dorzolamide
1073,The risk or severity of adverse effects,increase,Acetazolamide,Ergonovine
1074,The risk or severity of adverse effects,increase,Acetazolamide,Ergotamine
1075,The risk or severity of adverse effects,increase,Acetazolamide,Ethylmorphine
1076,The risk or severity of adverse effects,increase,Acetazolamide,Fentanyl
1077,The serum concentration,increase,Acetazolamide,Flecainide
1078,The serum concentration,increase,Acetazolamide,Fluvastatin
1079,The risk or severity of adverse effects,increase,Acetazolamide,Fosphenytoin
1080,The risk or severity of adverse effects,increase,Acetazolamide,Hydrocodone
1081,The risk or severity of adverse effects,increase,Acetazolamide,Hydromorphone
1082,The serum concentration,increase,Acetazolamide,Ibrutinib
1083,The risk or severity of adverse effects,increase,Acetazolamide,Ketobemidone
1084,The risk or severity of adverse effects,increase,Acetazolamide,Levomethadylacetate
1085,The risk or severity of adverse effects,increase,Acetazolamide,Lisuride
1086,The serum concentration,increase,Acetazolamide,Lovastatin
1087,The therapeutic efficacy,decrease,Acetazolamide,Mefloquine
1088,the excretion rate which could result in a higher serum level,decrease,Acetazolamide,Memantine
1089,The risk or severity of adverse effects,increase,Acetazolamide,Methadone
1090,the excretion rate which could result in a higher serum level,decrease,Acetazolamide,Methamphetamine
1091,The risk or severity of adverse effects,increase,Acetazolamide,Methazolamide
1092,The risk or severity of adverse effects,increase,Acetazolamide,Methylergometrine
1093,The therapeutic efficacy,decrease,Acetazolamide,Mianserin
1094,The risk or severity of adverse effects,increase,Acetazolamide,Morphine
1095,the hypoglycemic activities,increase,Acetohexamide,Alogliptin
1096,the hypoglycemic activities,increase,Acetohexamide,Alprenolol
1097,The therapeutic efficacy,decrease,Acetohexamide,Aripiprazole
1098,The therapeutic efficacy,decrease,Acetohexamide,Arsenictrioxide
1099,The therapeutic efficacy,decrease,Acetohexamide,Asenapine
1100,the hypoglycemic activities,increase,Acetohexamide,Atorvastatin
1101,The therapeutic efficacy,decrease,Acetohexamide,Bendroflumethiazide
1102,The therapeutic efficacy,decrease,Acetohexamide,Betamethasone
1103,the hypoglycemic activities,increase,Acetohexamide,Betaxolol
1104,the hypoglycemic activities,increase,Acetohexamide,Bezafibrate
1105,the hypoglycemic activities,increase,Acetohexamide,Bisoprolol
1106,The therapeutic efficacy,decrease,Acetohexamide,Brexpiprazole
1107,The therapeutic efficacy,decrease,Acetohexamide,Bumetanide
1108,the hypoglycemic activities,increase,Acetohexamide,Canagliflozin
1109,the hypoglycemic activities,increase,Acetohexamide,Carteolol
1110,the hypoglycemic activities,increase,Acetohexamide,Carvedilol
1111,the hypoglycemic activities,increase,Acetohexamide,Celiprolol
1112,The therapeutic efficacy,decrease,Acetohexamide,Ceritinib
1113,The metabolism,decrease,Acetohexamide,Chloramphenicol
1114,the hypoglycemic activities,increase,Acetohexamide,Chlorpropamide
1115,The serum concentration,increase,Acetohexamide,Cimetidine
1116,the hypoglycemic activities,increase,Acetohexamide,Clofibrate
1117,The therapeutic efficacy,decrease,Acetohexamide,Clozapine
1118,The therapeutic efficacy,decrease,Acetohexamide,Cortisoneacetate
1119,The therapeutic efficacy,decrease,Acetohexamide,Cyproteroneacetate
1120,The therapeutic efficacy,decrease,Acetohexamide,Dabrafenib
1121,The therapeutic efficacy,decrease,Acetohexamide,Danazol
1122,The therapeutic efficacy,decrease,Acetohexamide,Dexamethasone
1123,The therapeutic efficacy,decrease,Acetohexamide,Diazoxide
1124,the anticoagulant activities,increase,Acetohexamide,Dicoumarol
1125,The therapeutic efficacy,decrease,Acetohexamide,Dienogest
1126,the hypoglycemic activities,increase,Acetohexamide,Disopyramide
1127,The therapeutic efficacy,decrease,Acetohexamide,Drospirenone
1128,The therapeutic efficacy,decrease,Acetohexamide,Epinephrine
1129,the hypoglycemic activities,increase,Acetohexamide,Ertugliflozin
1130,The therapeutic efficacy,decrease,Acetohexamide,Estradiol
1131,The therapeutic efficacy,decrease,Acetohexamide,Estronesulfate
1132,The therapeutic efficacy,decrease,Acetohexamide,Etacrynicacid
1133,The risk or severity of adverse effects,increase,Acetohexamide,Ethanol
1134,The therapeutic efficacy,decrease,Acetohexamide,Ethinylestradiol
1135,The therapeutic efficacy,decrease,Acetohexamide,Etonogestrel
1136,The therapeutic efficacy,decrease,Acetohexamide,Everolimus
1137,the hypoglycemic activities,increase,Acetohexamide,Fenofibrate
1138,The therapeutic efficacy,decrease,Acetohexamide,Furosemide
1139,the hypoglycemic activities,increase,Acetohexamide,Gemfibrozil
1140,the hypoglycemic activities,increase,Acetohexamide,Gliclazide
1141,the hypoglycemic activities,increase,Acetohexamide,Glimepiride
1142,the hypoglycemic activities,increase,Acetohexamide,Glipizide
1143,the hypoglycemic activities,increase,Acetohexamide,Glyburide
1144,The therapeutic efficacy,decrease,Acetohexamide,Hydrocortisone
1145,The therapeutic efficacy,decrease,Acetohexamide,Hydroxyprogesteronecaproate
1146,The therapeutic efficacy,decrease,Acetohexamide,Iloperidone
1147,The therapeutic efficacy,decrease,Acetohexamide,Indapamide
1148,the hypoglycemic activities,increase,Acetohexamide,Labetalol
1149,The therapeutic efficacy,decrease,Acetohexamide,Levonorgestrel
1150,the hypoglycemic activities,increase,Acetohexamide,Linagliptin
1151,the hypoglycemic activities,increase,Acetohexamide,Lipoicacid
1152,The therapeutic efficacy,decrease,Acetohexamide,Lurasidone
1153,The therapeutic efficacy,decrease,Acetohexamide,Medroxyprogesteroneacetate
1154,The therapeutic efficacy,decrease,Acetohexamide,Mestranol
1155,The therapeutic efficacy,decrease,Acetohexamide,Methotrimeprazine
1156,The therapeutic efficacy,decrease,Acetohexamide,Methylprednisolone
1157,the hypoglycemic activities,increase,Acetohexamide,Metoprolol
1158,the hypoglycemic activities,increase,Acetohexamide,Miconazole
1159,the hypoglycemic activities,increase,Acetohexamide,Mifepristone
1160,the hypoglycemic activities,increase,Acetohexamide,Nateglinide
1161,the hypoglycemic activities,increase,Acetohexamide,Nebivolol
1162,The therapeutic efficacy,decrease,Acetohexamide,Niacin
1163,The risk or severity of adverse effects,increase,Acetylcholine,Alprenolol
1164,The risk or severity of adverse effects,increase,Acetylcholine,Ambenonium
1165,The metabolism,decrease,Acetylcholine,Amiodarone
1166,The metabolism,decrease,Acetylcholine,Atomoxetine
1167,The metabolism,decrease,Acetylcholine,Betaxolol
1168,The risk or severity of adverse effects,increase,Acetylcholine,Bisoprolol
1169,The metabolism,decrease,Acetylcholine,Bupropion
1170,The risk or severity of adverse effects,increase,Acetylcholine,Carteolol
1171,The risk or severity of adverse effects,increase,Acetylcholine,Carvedilol
1172,The metabolism,decrease,Acetylcholine,Celecoxib
1173,The risk or severity of adverse effects,increase,Acetylcholine,Celiprolol
1174,The metabolism,decrease,Acetylcholine,Chloroquine
1175,The metabolism,decrease,Acetylcholine,Chlorpromazine
1176,The metabolism,decrease,Acetylcholine,Cholecalciferol
1177,The metabolism,decrease,Acetylcholine,Cimetidine
1178,The metabolism,decrease,Acetylcholine,Cinacalcet
1179,The metabolism,decrease,Acetylcholine,Citalopram
1180,The metabolism,decrease,Acetylcholine,Clemastine
1181,The metabolism,decrease,Acetylcholine,Clomipramine
1182,The metabolism,decrease,Acetylcholine,Clotrimazole
1183,The metabolism,decrease,Acetylcholine,Clozapine
1184,The metabolism,decrease,Acetylcholine,Cocaine
1185,The metabolism,decrease,Acetylcholine,Darifenacin
1186,The risk or severity of adverse effects,increase,Acetylcholine,Decamethonium
1187,The metabolism,decrease,Acetylcholine,Desipramine
1188,The metabolism,decrease,Acetylcholine,Diphenhydramine
1189,The risk or severity of adverse effects,increase,Acetylcholine,Donepezil
1190,The metabolism,decrease,Acetylcholine,Dosulepin
1191,The metabolism,decrease,Acetylcholine,Dronedarone
1192,The metabolism,decrease,Acetylcholine,Duloxetine
1193,The metabolism,decrease,Acetylcholine,Eliglustat
1194,The metabolism,decrease,Acetylcholine,Fluoxetine
1195,The metabolism,decrease,Acetylcholine,Fluvoxamine
1196,The risk or severity of adverse effects,increase,Acetylcholine,Galantamine
1197,The metabolism,decrease,Acetylcholine,Haloperidol
1198,The metabolism,decrease,Acetylcholine,Imipramine
1199,The risk or severity of adverse effects,increase,Acetylcholine,Isoflurophate
1200,The metabolism,decrease,Acetylcholine,Isoniazid
1201,The metabolism,decrease,Acetylcholine,Ketoconazole
1202,The risk or severity of adverse effects,increase,Acetylcholine,Labetalol
1203,The metabolism,decrease,Acetylcholine,Lorcaserin
1204,The risk or severity of adverse effects,increase,Acetylcholine,Malathion
1205,The risk or severity of adverse effects,increase,Acetylcholine,Mefloquine
1206,The risk or severity of adverse effects,increase,Acetylcholine,Memantine
1207,The metabolism,decrease,Acetylcholine,Methadone
1208,The metabolism,decrease,Acetylcholine,Methotrimeprazine
1209,The risk or severity of adverse effects,increase,Acetylcholine,Metoclopramide
1210,The metabolism,decrease,Acetylcholine,Metoprolol
1211,The metabolism,decrease,Acetylcholine,Midostaurin
1212,The risk or severity of adverse effects,increase,Acetylcholine,Minaprine
1213,The metabolism,decrease,Acetylcholine,Mirabegron
1214,The risk or severity of adverse effects,increase,Acetylcholine,Nebivolol
1215,The risk or severity of adverse effects,increase,Acetylcholine,Neostigmine
1216,The metabolism,decrease,Acetylcholine,Nicardipine
1217,The risk or severity of adverse effects,increase,Acetylsalicylicacid,Alclometasone
1218,the antihypertensive activities,decrease,Acetylsalicylicacid,Aliskiren
1219,the hypoglycemic activities,increase,Acetylsalicylicacid,Alogliptin
1220,the antihypertensive activities,decrease,Acetylsalicylicacid,Alprenolol
1221,the antihypertensive activities,decrease,Acetylsalicylicacid,Amiloride
1222,The risk or severity of adverse effects,increase,Acetylsalicylicacid,Aminosalicylicacid
1223,The metabolism,decrease,Acetylsalicylicacid,Amiodarone
1224,the excretion rate which could result in a higher serum level,decrease,Acetylsalicylicacid,Amrubicin
1225,The risk or severity of adverse effects,increase,Acetylsalicylicacid,Anagrelide
1226,The risk or severity of adverse effects,increase,Acetylsalicylicacid,Antipyrine
1227,The serum concentration,decrease,Acetylsalicylicacid,Apalutamide
1228,The risk or severity of adverse effects,increase,Acetylsalicylicacid,Apixaban
1229,The risk or severity of adverse effects,increase,Acetylsalicylicacid,Apremilast
1230,The metabolism,increase,Acetylsalicylicacid,Aprepitant
1231,The risk or severity of adverse effects,increase,Acetylsalicylicacid,Argatroban
1232,The risk or severity of adverse effects,increase,Acetylsalicylicacid,Azelastine
1233,the nephrotoxic activities,increase,Acetylsalicylicacid,Balsalazide
1234,The risk or severity of adverse effects,increase,Acetylsalicylicacid,Beclomethasonedipropionate
1235,The therapeutic efficacy,decrease,Acetylsalicylicacid,Benazepril
1236,The therapeutic efficacy,decrease,Acetylsalicylicacid,Bendroflumethiazide
1237,The risk or severity of adverse effects,increase,Acetylsalicylicacid,Betamethasone
1238,the antihypertensive activities,decrease,Acetylsalicylicacid,Betaxolol
1239,The risk or severity of bleeding,increase,Acetylsalicylicacid,Betrixaban
1240,the antihypertensive activities,decrease,Acetylsalicylicacid,Bisoprolol
1241,the anticoagulant activities,increase,Acetylsalicylicacid,Bivalirudin
1242,The risk or severity of adverse effects,increase,Acetylsalicylicacid,Brinzolamide
1243,The risk or severity of adverse effects,increase,Acetylsalicylicacid,Bromfenac
1244,the hypoglycemic activities,increase,Acetylsalicylicacid,Bromocriptine
1245,The risk or severity of adverse effects,increase,Acetylsalicylicacid,Budesonide
1246,The therapeutic efficacy,decrease,Acetylsalicylicacid,Bumetanide
1247,the hypoglycemic activities,increase,Acetylsalicylicacid,Canagliflozin
1248,The risk or severity of adverse effects,increase,Acetylsalicylicacid,Candesartancilexetil
1249,The metabolism,decrease,Acetylsalicylicacid,Capecitabine
1250,The therapeutic efficacy,decrease,Acetylsalicylicacid,Captopril
1251,The metabolism,increase,Acetylsalicylicacid,Carbamazepine
1252,The serum concentration of the active metabolites,increase,Acetylsalicylicacid,Carisoprodol
1253,the antihypertensive activities,decrease,Carteolol,Acetylsalicylicacid
1254,the antihypertensive activities,decrease,Carvedilol,Acetylsalicylicacid
1255,The risk or severity of adverse effects,increase,Celecoxib,Acetylsalicylicacid
1256,the antihypertensive activities,decrease,Celiprolol,Acetylsalicylicacid
1257,The serum concentration,increase,Ceritinib,Acetylsalicylicacid
1258,The risk or severity of adverse effects,increase,Chloroquine,Acetylsalicylicacid
1259,the hypoglycemic activities,increase,Chlorpropamide,Acetylsalicylicacid
1260,The metabolism,decrease,Cholecalciferol,Acetylsalicylicacid
1261,The risk or severity of adverse effects,increase,Ciclesonide,Acetylsalicylicacid
1262,The risk or severity of adverse effects,increase,Cilostazol,Acetylsalicylicacid
1263,the antiplatelet activities,increase,Citalopram,Acetylsalicylicacid
1264,The risk or severity of adverse effects,increase,Clobetasolpropionate,Acetylsalicylicacid
1265,The risk or severity of adverse effects,increase,Clodronicacid,Acetylsalicylicacid
1266,The risk or severity of adverse effects,increase,Clopidogrel,Acetylsalicylicacid
1267,The metabolism,decrease,Clotrimazole,Acetylsalicylicacid
1268,The risk or severity of adverse effects,increase,Cortisoneacetate,Acetylsalicylicacid
1269,The metabolism,decrease,Crisaborole,Acetylsalicylicacid
1270,the nephrotoxic activities,increase,Cyclosporine,Acetylsalicylicacid
1271,the anticoagulant activities,increase,Dabigatranetexilate,Acetylsalicylicacid
1272,The serum concentration,decrease,Dabrafenib,Acetylsalicylicacid
1273,the hypoglycemic activities,increase,Dapagliflozin,Acetylsalicylicacid
1274,the anticoagulant activities,increase,Dasatinib,Acetylsalicylicacid
1275,the excretion rate which could result in a higher serum level,decrease,Daunorubicin,Acetylsalicylicacid
1276,The risk or severity of adverse effects,increase,Desmopressin,Acetylsalicylicacid
1277,the antiplatelet activities,increase,Desvenlafaxine,Acetylsalicylicacid
1278,The risk or severity of adverse effects,increase,Dexamethasone,Acetylsalicylicacid
1279,The risk or severity of adverse effects,increase,Dexketoprofen,Acetylsalicylicacid
1280,The risk or severity of adverse effects,increase,Diclofenac,Acetylsalicylicacid
1281,The risk or severity of adverse effects,increase,Diclofenamide,Acetylsalicylicacid
1282,the anticoagulant activities,increase,Dicoumarol,Acetylsalicylicacid
1283,The risk or severity of adverse effects,increase,Diflunisal,Acetylsalicylicacid
1284,The serum concentration,increase,Digoxin,Acetylsalicylicacid
1285,the anticoagulant activities,increase,Diltiazem,Acetylsalicylicacid
1286,The therapeutic efficacy,decrease,Dinoprostone,Acetylsalicylicacid
1287,the hypoglycemic activities,increase,Disopyramide,Acetylsalicylicacid
1288,The risk or severity of adverse effects,increase,Dorzolamide,Acetylsalicylicacid
1289,The metabolism,decrease,Dosulepin,Acetylsalicylicacid
1290,the excretion rate which could result in a higher serum level,decrease,Doxorubicin,Acetylsalicylicacid
1291,the hyperkalemic activities,increase,Drospirenone,Acetylsalicylicacid
1292,the antiplatelet activities,increase,Duloxetine,Acetylsalicylicacid
1293,The therapeutic efficacy,decrease,Enalapril,Acetylsalicylicacid
1294,the neuroexcitatory activities,increase,Enoxacin,Acetylsalicylicacid
1295,The risk or severity of adverse effects,increase,Epinastine,Acetylsalicylicacid
1296,the excretion rate which could result in a higher serum level,decrease,Epirubicin,Acetylsalicylicacid
1297,the antihypertensive activities,decrease,Eplerenone,Acetylsalicylicacid
1298,The risk or severity of adverse effects,increase,Epoprostenol,Acetylsalicylicacid
1299,The risk or severity of adverse effects,increase,Eprosartan,Acetylsalicylicacid
1300,the antiplatelet activities,increase,Escitalopram,Acetylsalicylicacid
1301,The risk or severity of adverse effects,increase,Estrone,Acetylsalicylicacid
1302,The risk or severity of adverse effects,increase,Estronesulfate,Acetylsalicylicacid
1303,The therapeutic efficacy,decrease,Etacrynicacid,Acetylsalicylicacid
1304,The risk or severity of adverse effects,increase,Ethanol,Acetylsalicylicacid
1305,The risk or severity of adverse effects,increase,Etodolac,Acetylsalicylicacid
1306,The risk or severity of adverse effects,increase,Etoricoxib,Acetylsalicylicacid
1307,The metabolism,decrease,Felodipine,Acetylsalicylicacid
1308,The metabolism,decrease,Floxuridine,Acetylsalicylicacid
1309,The risk or severity of adverse effects,increase,Flunisolide,Acetylsalicylicacid
1310,The risk or severity of adverse effects,increase,Fluocinoloneacetonide,Acetylsalicylicacid
1311,The risk or severity of adverse effects,increase,Fluorometholone,Acetylsalicylicacid
1312,The metabolism,decrease,Fluorouracil,Acetylsalicylicacid
1313,the antiplatelet activities,increase,Fluoxetine,Acetylsalicylicacid
1314,The risk or severity of adverse effects,increase,Flurbiprofen,Acetylsalicylicacid
1315,The risk or severity of adverse effects,increase,Fluticasonefuroate,Acetylsalicylicacid
1316,The risk or severity of adverse effects,increase,Fluticasonepropionate,Acetylsalicylicacid
1317,The metabolism,decrease,Fluvastatin,Acetylsalicylicacid
1318,the antiplatelet activities,increase,Fluvoxamine,Acetylsalicylicacid
1319,The therapeutic efficacy,decrease,Folicacid,Acetylsalicylicacid
1320,The metabolism,increase,Fosphenytoin,Acetylsalicylicacid
1321,The therapeutic efficacy,decrease,Furosemide,Acetylsalicylicacid
1322,The metabolism,decrease,Gemfibrozil,Acetylsalicylicacid
1323,the hypoglycemic activities,increase,Gliclazide,Acetylsalicylicacid
1324,the hypoglycemic activities,increase,Glimepiride,Acetylsalicylicacid
1325,the hypoglycemic activities,increase,Glipizide,Acetylsalicylicacid
1326,the antiplatelet activities,increase,Glucosamine,Acetylsalicylicacid
1327,the hypoglycemic activities,increase,Glyburide,Acetylsalicylicacid
1328,The risk or severity of adverse effects,increase,Haloperidol,Acetylsalicylicacid
1329,the antihypertensive activities,decrease,Hydralazine,Acetylsalicylicacid
1330,The risk or severity of adverse effects,increase,Hydrocortisone,Acetylsalicylicacid
1331,The risk or severity of adverse effects,increase,Ibrutinib,Acetylsalicylicacid
1332,The risk or severity of adverse effects,increase,Ibuprofen,Acetylsalicylicacid
1333,the excretion rate which could result in a higher serum level,decrease,Idarubicin,Acetylsalicylicacid
1334,The therapeutic efficacy,decrease,Indapamide,Acetylsalicylicacid
1335,The risk or severity of adverse effects,increase,Indomethacin,Acetylsalicylicacid
1336,The metabolism,decrease,Irbesartan,Acetylsalicylicacid
1337,The serum concentration,increase,Isavuconazole,Acetylsalicylicacid
1338,The metabolism,decrease,Ketoconazole,Acetylsalicylicacid
1339,The risk or severity of adverse effects,increase,Ketoprofen,Acetylsalicylicacid
1340,the antihypertensive activities,decrease,Labetalol,Acetylsalicylicacid
1341,The metabolism,decrease,Lapatinib,Acetylsalicylicacid
1342,The metabolism,decrease,Leflunomide,Acetylsalicylicacid
1343,the neuroexcitatory activities,increase,Levofloxacin,Acetylsalicylicacid
1344,the antiplatelet activities,increase,Levomilnacipran,Acetylsalicylicacid
1345,The metabolism,decrease,Lobeglitazone,Acetylsalicylicacid
1346,The risk or severity of adverse effects,increase,Lornoxicam,Acetylsalicylicacid
1347,The metabolism,decrease,Losartan,Acetylsalicylicacid
1348,The metabolism,decrease,Lovastatin,Acetylsalicylicacid
1349,The risk or severity of adverse effects,increase,Loxoprofen,Acetylsalicylicacid
1350,The therapeutic efficacy,decrease,Lubiprostone,Acetylsalicylicacid
1351,The serum concentration,increase,Lumacaftor,Acetylsalicylicacid
1352,The risk or severity of adverse effects,increase,Lumiracoxib,Acetylsalicylicacid
1353,The risk or severity of adverse effects,increase,Masoprocol,Acetylsalicylicacid
1354,The risk or severity of adverse effects,increase,Mefenamicacid,Acetylsalicylicacid
1355,The risk or severity of adverse effects,increase,Meloxicam,Acetylsalicylicacid
1356,The risk or severity of adverse effects,increase,Metamizole,Acetylsalicylicacid
1357,The risk or severity of adverse effects,increase,Methazolamide,Acetylsalicylicacid
1358,The serum concentration,increase,Methotrexate,Acetylsalicylicacid
1359,The risk or severity of adverse effects,increase,Methylprednisolone,Acetylsalicylicacid
1360,the antihypertensive activities,decrease,Metoprolol,Acetylsalicylicacid
1361,The metabolism,decrease,Midostaurin,Acetylsalicylicacid
1362,The serum concentration,increase,Mifepristone,Acetylsalicylicacid
1363,the hypoglycemic activities,increase,Miglitol,Acetylsalicylicacid
1364,The risk or severity of adverse effects,increase,Mometasone,Acetylsalicylicacid
1365,The risk or severity of adverse effects,increase,Morniflumate,Acetylsalicylicacid
1366,The risk or severity of adverse effects,increase,Mycophenolatemofetil,Acetylsalicylicacid
1367,The risk or severity of adverse effects,increase,Mycophenolicacid,Acetylsalicylicacid
1368,The risk or severity of adverse effects,increase,Nabumetone,Acetylsalicylicacid
1369,The risk or severity of adverse effects,increase,Naproxen,Acetylsalicylicacid
1370,the hypoglycemic activities,increase,Nateglinide,Acetylsalicylicacid
1371,the antihypertensive activities,decrease,Nebivolol,Acetylsalicylicacid
1372,the antiplatelet activities,increase,Nefazodone,Acetylsalicylicacid
1373,The metabolism,decrease,Nicardipine,Acetylsalicylicacid
1374,The therapeutic efficacy,decrease,Dienogest,Acitretin
1375,The therapeutic efficacy,decrease,Diethylstilbestrol,Acitretin
1376,The risk or severity of adverse effects,increase,Doxycycline,Acitretin
1377,The therapeutic efficacy,decrease,Drospirenone,Acitretin
1378,The therapeutic efficacy,decrease,Estradiol,Acitretin
1379,The therapeutic efficacy,decrease,Estramustine,Acitretin
1380,The therapeutic efficacy,decrease,Estronesulfate,Acitretin
1381,The therapeutic efficacy,decrease,Ethinylestradiol,Acitretin
1382,The therapeutic efficacy,decrease,Etonogestrel,Acitretin
1383,The therapeutic efficacy,decrease,Gestodene,Acitretin
1384,The therapeutic efficacy,decrease,Levonorgestrel,Acitretin
1385,The therapeutic efficacy,decrease,Medroxyprogesteroneacetate,Acitretin
1386,The therapeutic efficacy,decrease,Mestranol,Acitretin
1387,the hepatotoxic activities,increase,Methotrexate,Acitretin
1388,The risk or severity of adverse effects,increase,Alfentanil,Aclidinium
1389,The therapeutic efficacy,decrease,Ambenonium,Aclidinium
1390,The therapeutic efficacy,decrease,Amoxapine,Aclidinium
1391,the anticholinergic activities,increase,Atropine,Aclidinium
1392,The serum concentration,increase,Bendroflumethiazide,Aclidinium
